file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2013-M-D-B04-4-R-02_0105_753899_to_762738,ཨེ་ནས་རྡོ་དེ་ཕར་སྤྲད་རེད་ད། ཨེ་ནས་ཤིང་དེ་བཅད་ནས། ཨེ་ནས་སྒང་ལ་ཅིག་སྒང་ལ་ཀྱོག་ཀྱོག ཌ་པ་ཅིག་སྒང་སྒང་ལ་ནས་བཀྱག་རེད་ད། ཨེ་ནས། སྒང་ལ།  ,e nas rdo de phar sprad red da/_e nas shing de bcad nas/_e nas sgang la cig sgang la kyog kyog_Da pa cig sgang sgang la nas bkyag red da/_e nas/_sgang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B04-4-R-02_0105_753899_to_762738.wav,STT_CS,3,129,8.839,wav16k/STT_CS-D-2013-M-D-B04-4-R-02_0105_753899_to_762738.wav,ཨ་ནས་རྡོ་དེ་ཕར་སྐྱེས་རེད་ད། ཨ་ནས་ཤིང་དེ་རྩེས་ནས། ཨ་ནས་སྒང་ལ་གཅིག་སྒང་ལ་བཀྱག། བོ་ཌྲལ་པ་གཅིག་སྒང་སྒང་ལ་བཀྱག་རེད་ད། ཨ་ནས།
STT_CS-D-2013-M-D-B04-4-R-02_0112_810127_to_818788,ཁྱོད་ག་རེ་དགོས་ཡོད་ལབ་རེད། ཁོས་ཁ་ལག ཁ་ལག་འདྲ་བོ་བཟོས། ཨེ་འདྲའི་བྱས་རེད། ཁྱོད་རང་ཁ་ལག་བཟོས་ཨེ་འདྲའི་བྱས་རཱ།  ,khyod ga re dgos yod lab red/_khos kha lag_kha lag 'dra bo bzos/_e 'dra'i byas red/_khyod rang kha lag bzos e 'dra'i byas rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B04-4-R-02_0112_810127_to_818788.wav,STT_CS,3,108,8.661,wav16k/STT_CS-D-2013-M-D-B04-4-R-02_0112_810127_to_818788.wav,ག་རེ་རེད་ལབ་རེད། ་ཁོ་ཁ་ལག་ཁ་ལག་འདྲ་བོ་བཟོས་ཨེ་འདྲའི་བྱས་་རེད ཁྱོད་རང་ཁ་ལག་བཟོས་འ་ྲའི་བྱས་རཱ།
STT_CS-D-2013-M-D-B05-5-R-03_0007_42286_to_49645,མོ། ཨེ་ནས་ཉིན་མ་གཅིག་པ་ལགས་དེ་ཚོང་པ་རེད་རཱ། ཨེ་ནས་པ་ལགས་དེ་ཚོང་པ་རེད་ད་རཱ། པ་ལགས་དེ་ཉི་མ་གཅིག་ཚོང་བརྒྱབ་ག་ཕྱི་ལོགས་གཅིག་ལ་འགྲོ་དགོས་ཁེལ་རེད་ད་རཱ།  ,mo/_e nas nyin ma gcig pa lags de tshong pa red rA/_e nas pa lags de tshong pa red da rA/_pa lags de nyi ma gcig tshong brgyab ga phyi logs gcig la 'gro dgos khel red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0007_42286_to_49645.wav,STT_CS,3,147,7.359,wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0007_42286_to_49645.wav,མོ་ཨ་ནས་་ཉིན་མ་གཅིག་པ་ལགས་དེ་ཚོང་པ་རཱ། ཨ་ནས་པ་ལགས་དེ་ཚོང་པ་རེད་ད་རཱ། ཨ་ནས་པ་ལགས་དེ་ཉིན་མ་གཅིག་ཡོད་རཱ། ཚོང་པ་རྒྱག་གར ཚོང་རྒྱག་གར་ཕྱི་ལོགས་གཅིག་ལ་འགྲོ་དགོས་ཁེལ་རེད་ད་རཱ།
STT_CS-D-2013-M-D-B05-5-R-03_0013_81206_to_89248,ག་རེ་བྱས་སོང་ལབ་རེད་ད་རཱ། ཨ་མ་དེས་ལབ་རེད་ད། བྷོལ་ཡོད་ལབ་རེད་ད་རཱ། བུ་མོ་དེས་ལབ་རེད་ད་རཱ། བྷོལ་གཅིག་ཡོད་ལབ་རེད་ད། པ་ལགས།  ,ga re byas song lab red da rA/_a ma des lab red da/_b+hol yod lab red da rA/_bu mo des lab red da rA/_b+hol gcig yod lab red da/_pa lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0013_81206_to_89248.wav,STT_CS,3,121,8.042,wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0013_81206_to_89248.wav,ག་རེ་བྱས་སོང་ལབ་རེད་ད་རཱ། ཨ་མ་དེས་ལབ་རེད་ད། ཁ་ཚོ་དེས་བྷོལ་ཡོད་རེད་ལབ་རེད་ད་རཱ། ་བུ་མོ་དེ་ལབ་རེད་ད་རཱ། བྷལ་གཅིག་ཡོད་རེད་ལབ་རེད་དད། ལ།
STT_PC0123_0122_942786_to_945666,སོ་སོའི་རྒྱུ་དངོས་དེ་གས་ག་ཚད་ཡོད་མེད་ཕྱི་ལ་ཡ་མར་གསལ་བསྒྲགས་བྱེད་དགོས་འདུག་ཟེར།  ,so so'i rgyu dngos de gas ga tshad yod med phyi la ya mar gsal bsgrags byed dgos 'dug zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0123_0122_942786_to_945666.wav,STT_PC,3,80,2.88,wav16k/STT_PC0123_0122_942786_to_945666.wav,སོ་སོའི་རྒྱུ་དངོས་འདེ་གས་ག་ཚད་ཡོད་མེད་ཕྱི་ལ་ཡ་མར་གསལ་སྒྲགས་བྱེད་དགོས་འདུག་ཟེ།
STT_CS-D-2013-M-D-B05-5-R-03_0022_155708_to_159974,ཟུར་ལ་མིག་ལྟ་ཡ་ཆེད་དུ་སྦལ་པ་ཆེན་པོ་གཉིས་ཁྱེར་ཤོག་ལབ་རེད་ད། ཨོ་ལབ་རེད་ད། ཨེ་ནས་ཆེན་པོ་གཉིས་ཁྱེར་ཡོང་རཱ།  ,zur la mig lta ya ched du sbal pa chen po gnyis khyer shog lab red da/_o lab red da/_e nas chen po gnyis khyer yong rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0022_155708_to_159974.wav,STT_CS,3,104,4.266,wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0022_155708_to_159974.wav,ཟུར་ལ་མི་བལྟ་ཡ་ཆེད་དུ་སྦལ་པ་འཆེན་པོ་གཉིས་འཁྱོན་སོང། ཨོ་ལབ་རེད་ད། ཨ་ནས་ཆེན་པོ་གཉིས་གྱོན་དགོས་རེ་་རེད་ད།
STT_NS_M0291_0200_1453290_to_1455971,ཨེ་ནས་མོ་པྭ་ལགས་དང་ཨ་མ་པེ་ཁོ་ཚོ་ཤི་ལོང་ལ།  ,e nas mo p+wa lags dang a ma pe kho tsho shi long la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0291_0200_1453290_to_1455971.wav,STT_NS,3,43,2.681,wav16k/STT_NS_M0291_0200_1453290_to_1455971.wav,ཨ་ནས་མོ་པ་ལགས་དང་ཨ་མ་དེ་ཁོ་ཚོ་ཤི་ལོང་ལ།
STT_CS-D-2013-M-D-B05-5-R-03_0025_170110_to_172585,ཝེ་ཁྱོད་ཆུ་ཚོད་བཅུ་གཉིས་ལ་མགྱོགས་པོ་མགྱོགས་པོ་ཤོག་ཨ་ལབ་རེད་ད་རཱ།  ,we khyod chu tshod bcu gnyis la mgyogs po mgyogs po shog a lab red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0025_170110_to_172585.wav,STT_CS,3,66,2.475,wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0025_170110_to_172585.wav,ཝེ་ཁྱོད་ཆུ་ཚོད་བཅུ་གཉིས་ལ་མགྱོགས་པོ་མགྱོགས་པོ་ཤོག་ལ་ལབ་རེད་ད་རཱ།
STT_CS-D-2013-M-D-B05-5-R-03_0028_182721_to_191322,ཨེ་ནས་ཨ་མ་དེས། ཨ་མ་ཀེ་བུ་མོ་སྙིང་རྗེ་བ་ལ། བུ་མོ་སྙིང་རྗེ་བ་ལ་བསམ་རེད་ད་རཱ། ཨེ་ནས། ཆུ་ཚོད་བཅུ་གཉིས་ཏིང་ཏིང་ཏིང་བྱས་རེད་ད། ག་རེ་ལབ་ན་ཁོང་ཚོ་གཉིས་གཞས་འཁྲབ་བྱས་ནས་མགོ་འཁོར་རེད་ད་རཱ།  ,e nas a ma des/_a ma ke bu mo snying rje ba la/_bu mo snying rje ba la bsam red da rA/_e nas/_chu tshod bcu gnyis ting ting ting byas red da/_ga re lab na khong tsho gnyis gzhas 'khrab byas nas mgo 'khor red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0028_182721_to_191322.wav,STT_CS,3,179,8.601,wav16k/STT_CS-D-2013-M-D-B05-5-R-03_0028_182721_to_191322.wav,ཨེ་ནས་ཨ་མ་དེས། ཨ་མ་ཀེ་བུ་མོ་སྙིང་རྗེ་བ་ལ། བུ་མ་སྙིང་རྗེ་བ་རེད་བསམ་རེད་ད་རཱ། ཨ་ནས་ཆུ་ཚོད་བཅུ་གཉིས་དང་ཌང་ཌང་བྱས་རེད་ད། ག་རེ་ལབ་ན། ཁོང་ཚོ་གཉིས་ཤས་འཁྲབ་བྱས་ནས་མགྷོལ་འཁོ་རེད་ད་རཱ།
STT_CS-D-2013-P-D-B03-2-R-03_0002_7175_to_16288,སྔན་མ་སྔན་མ་མི་གཅིག་དང་ཨེ་ནས། ཨེ་ནས་བ་ཕྱུགས་གཅིག་ཡོད་རེད་ད་རཱ། ཨོ་འདི་ཨོ་འདི་མི་འདིས་བ་ཕྱུགས་དེ་ལ་ཡག་པོ་དཔེ་བྱེད་ཀྱི་ཡོད་རེད་ད་རཱ།  ,sngan ma sngan ma mi gcig dang e nas/_e nas ba phyugs gcig yod red da rA/_o 'di o 'di mi 'dis ba phyugs de la yag po dpe byed kyi yod red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-P-D-B03-2-R-03_0002_7175_to_16288.wav,STT_CS,3,132,9.113,wav16k/STT_CS-D-2013-P-D-B03-2-R-03_0002_7175_to_16288.wav,སྔོན་མ་སྔོན་མ་མི་གཅིག་དང་ཨ་ནས། ཨ་ནས་བ་ཕྱུགས་གཅིག་ཡོད་རེད་ད་རཱ། ཨོ་དེ། ཨོ་དེ། མིདེ། བ་ཕྱུགས་དེ་ལ་ཡག་པོ་དཔེ་བྱེད་ཀྱི་ཡོད་རེད་ད་རཱ།
